time(ms),x-accel,y-accel,z-accel
3666189.9999999152,0.053055,-1.003601,-0.009109
3693340.000001626,0.090073,-1.016632,0.02597
3720489.9999996996,0.090164,-0.99826,0.041153
3747640.000001411,0.080246,-1.012131,0.025757
3774790.0000031223,0.055679,-1.016373,0.004288
3801980.0000001853,0.073105,-1.024338,0.027527
3829130.000001896,0.151566,-1.016388,0.118988
3856270.0000002226,0.163315,-1.030167,0.119415
3883420.0000019334,0.176483,-1.037231,0.123322
3910570.000000007,0.169373,-1.036331,0.139481
3937760.000000708,0.19429,-1.048096,0.210358
3964910.000002419,0.187714,-1.068024,0.118713
3992060.0000004927,0.188629,-1.10527,0.100067
4019210.0000022035,0.172684,-1.126282,0.20665
4046360.000000277,0.165985,-1.114441,0.407379
4073550.000000978,0.0793,-1.287888,0.154724
4100690.000002942,0.065521,-1.348984,0.151062
4127850.0000007628,0.144653,-1.23912,0.077194
4154990.0000027264,0.666794,-1.358139,0.353745
4182140.0000008,0.623932,-1.191269,0.05191
4209330.0000015,0.512482,-0.687668,0.182129
4236469.999999827,0.230286,-0.573853,0.05838
4263620.000001538,-0.010284,-0.572449,-0.228729
4290759.999999864,-0.14238,-0.334335,0.016266
4317910.000001575,0.025177,-0.46553,0.239944
4345100.000002276,0.327911,-0.796249,0.06485
4372250.000000349,0.270676,-0.614883,0.055618
4399400.00000206,0.222733,-0.82608,0.064651
4426550.000000134,0.218719,-1.022034,0.111618
4453710.000001593,0.305069,-1.170044,0.115356
4480900.000002293,0.423538,-1.477066,0.124603
4508050.000000367,0.303467,-1.412918,0.217285
4535190.00000233,0.147308,-1.437744,0.201797
4562350.000000151,0.03537,-1.465103,0.270279
4589500.000001863,0.373032,-1.47226,0.721527
4616680.000002816,0.514038,-1.117523,0.423401
4643830.000000889,0.126968,-0.938446,0.201248
4670980.0000026,0.56926,-0.620956,0.591034
4698130.000000674,0.788589,-0.648804,0.284256
4725280.000002385,0.61882,-0.848251,0.174011
4752470.000003086,0.139206,-1.592834,0.179642
4779620.0000011595,-0.30426,-1.19548,-0.086243
4806770.00000287,-0.590363,-1.357468,-0.64772
