time (ms), x-accel, y-accel, z-accel
1843.6299999884795, -0.396881, 0.933929, 0.344574
1868.9000000013039, -0.378662, 0.960663, 0.34407
1894.1499999928055, -0.381927, 1.061096, 0.343384
1919.419999991078, -0.39621, 1.1371, 0.358353
1944.6699999971315, -0.389862, 1.107437, 0.373825
1969.9199999886332, -0.296249, 0.97438, 0.343491
1995.1900000014575, -0.197647, 0.938156, 0.273026
2020.4399999929592, -0.179977, 0.937286, 0.237
2045.7099999912316, -0.226654, 0.944595, 0.220947
2070.959999997285, -0.25473, 0.929337, 0.239883
2096.209999988787, -0.213989, 0.912903, 0.232498
2121.480000001611, -0.182007, 0.897339, 0.199051
2146.729999993113, -0.190231, 0.885605, 0.182693
2171.9999999913853, -0.218124, 0.860352, 0.206863
2197.249999997439, -0.220245, 0.843979, 0.238312
2222.4999999889405, -0.219238, 0.797348, 0.235458
2247.7799999905983, -0.233749, 0.778168, 0.214691
2273.009999989881, -0.252121, 0.793747, 0.216171
2298.2799999881536, -0.272003, 0.78804, 0.235046
2323.529999994207, -0.279129, 0.78157, 0.237595
2348.7800000002608, -0.286621, 0.815445, 0.231735
2374.049999998533, -0.303711, 0.831009, 0.232803
2399.2900000012014, -0.324234, 0.838928, 0.241913
2424.559999999474, -0.330902, 0.859497, 0.260803
2449.8099999909755, -0.33316, 0.886566, 0.278763
2475.059999997029, -0.342819, 0.92485, 0.29985
2500.3299999953015, -0.349213, 0.956573, 0.320526
2525.580000001355, -0.337006, 0.94928, 0.334335
2550.8499999996275, -0.316833, 0.954453, 0.343796
2576.099999991129, -0.32222, 1.081787, 0.345245
2601.3399999937974, -0.354965, 1.222488, 0.339966
2626.60999999207, -0.373566, 1.218918, 0.341827
2651.8599999981234, -0.31871, 1.049194, 0.361389
2677.129999996396, -0.263687, 0.842987, 0.370544
2702.3799999878975, -0.144974, 0.78006, 0.346771
2727.629999993951, -0.128265, 0.852921, 0.306366
2752.8999999922235, -0.203949, 0.912079, 0.293015
2778.149999998277, -0.252441, 0.94664, 0.271378
2803.4199999965494, -0.220612, 0.927109, 0.268585
2828.6799999914365, -0.171799, 0.864075, 0.2957
2853.92999999749, -0.172607, 0.788742, 0.291199
2879.1999999957625, -0.210281, 0.754623, 0.259293
2904.450000001816, -0.227829, 0.739838, 0.241104
2929.7200000000885, -0.258514, 0.788483, 0.246674
2954.9799999949755, -0.280365, 0.832169, 0.263092
2980.230000001029, -0.319366, 0.868561, 0.282089
3005.4999999993015, -0.33403, 0.866806, 0.308182
3030.749999990803, -0.344482, 0.83197, 0.329361
3056.029999992461, -0.36348, 0.806564, 0.339981
3081.2799999985145, -0.362076, 0.80867, 0.341232
3106.529999990016, -0.390869, 0.839096, 0.357376
3131.7999999882886, -0.419006, 0.880951, 0.370636
3157.049999994342, -0.427856, 0.901672, 0.37648
3182.3199999926146, -0.429138, 0.913788, 0.37355
