times (ms),x-accel,y-accel,z-accel
3106.9099999964237,-0.081299,0.882629,-0.364014
3132.1800000071526,0.032089,0.985779,-0.197174
3157.4300000071526,-0.139038,0.988525,-0.019409
3182.7000000029802,-0.192963,0.962524,-0.135269
3207.9600000083447,-0.187637,0.979965,-0.222763
3233.220000013709,-0.233963,0.980301,-0.170334
3258.500000014901,-0.239853,0.965317,-0.181595
3283.75,-0.169937,0.983505,-0.206543
3309.0199999958277,-0.062164,0.965866,-0.06424
3334.270000010729,-0.097763,0.987427,-0.047058
3359.530000001192,-0.165359,0.973999,-0.038666
3384.7999999970198,-0.224136,0.984024,-0.040085
3410.0600000172853,-0.25351,0.970474,-0.037811
3435.330000013113,-0.257065,0.983932,-0.026993
3460.579999998212,-0.1987,1.039246,0.002792
3485.830000013113,-0.206192,1.06517,0.125656
3511.110000014305,-0.249557,0.970596,0.212372
3536.359999999404,-0.305481,0.950119,0.153381
3561.630000010133,-0.321304,0.913803,0.136246
3586.880000010133,-0.313522,0.90535,0.11795
3612.130000010133,-0.299438,0.910614,0.089966
3637.4000000059605,-0.320847,0.910461,0.15274
3662.6500000059605,-0.31044,0.859085,0.203384
3687.9300000071526,-0.295898,0.789154,0.163956
3713.1800000071526,-0.322678,0.791962,0.106781
3738.4300000071526,-0.32457,0.800171,0.084137
3763.7099999934435,-0.316528,0.789383,0.083267
3788.9600000083447,-0.293198,0.80864,0.074905
3814.2300000041723,-0.304565,0.912964,0.093658
3839.4899999946356,-0.333572,1.058212,0.121887
3864.7400000095367,-0.320084,1.110291,0.212921
3890.0100000053644,-0.313858,1.133163,0.175537
3915.2600000053644,-0.289032,1.058365,0.134857
3940.5300000160933,-0.250244,0.93895,0.097092
3965.7900000065565,-0.254608,0.843719,-0.011292
3991.0400000065565,-0.30307,0.818161,-0.082443
4016.2999999970198,-0.354584,0.866135,-0.107178
4041.560000002384,-0.387756,0.933487,-0.03627
4066.830000013113,-0.397476,0.937057,0.021622
4092.079999998212,-0.40155,0.912704,-0.037109
4117.340000018477,-0.42038,0.900909,-0.098495
4142.610000014305,-0.397522,0.881027,-0.085419
4167.859999999404,-0.36058,0.913483,-0.054871
4193.129999995232,-0.293701,0.96933,0.023666
4218.380000010133,-0.246719,1.003525,0.094315
4243.640000000596,-0.229782,1.048447,0.123627
4268.909999996424,-0.264465,1.02449,0.057007
4294.160000011325,-0.385834,0.915421,-0.10704
4319.430000007153,-0.429932,0.901367,-0.143921
4344.680000007153,-0.450516,0.871872,-0.130249
4369.930000007153,-0.384781,0.848343,-0.085983
4395.20000000298,-0.34433,0.8992,-0.047394
4420.460000008345,-0.343536,0.924332,-0.022263
4445.730000004172,-0.408966,0.919067,-0.029068
4470.990000009537,-0.406769,0.914841,-0.065887
4496.240000009537,-0.391739,0.901794,-0.048584
4521.520000010729,-0.403229,0.861435,-0.017761
4546.769999995828,-0.513153,0.847549,-0.058334
4572.04999999702,-0.57048,0.875153,-0.120438
4597.300000011921,-0.5504,0.879181,-0.119049
4622.54999999702,-0.495117,0.821121,-0.031403
4647.829999998212,-0.464828,0.786713,0.113876
4673.090000018477,-0.471283,0.901779,0.068192
4698.360000014305,-0.466461,0.896866,-0.015442
4723.620000004768,-0.493027,0.834473,-0.064896
4748.870000004768,-0.552277,0.792313,-0.051804
4774.140000015497,-0.567276,0.803543,-0.052002
4799.4000000059605,-0.542923,0.826462,-0.017563
4824.670000001788,-0.466278,0.847092,0.028076
4849.930000007153,-0.409439,0.855377,0.028641
4875.180000007153,-0.431793,0.870255,-6.56E-4
4900.460000008345,-0.474823,0.863937,-0.007828
4925.719999998808,-0.494675,0.828415,0.013123
4950.990000009537,-0.527985,0.810913,-0.001114
4976.250000014901,-0.558182,0.827042,-0.017075
5001.5,-0.541687,0.842438,-0.011612
5026.780000001192,-0.513611,0.841049,0.033203
5052.030000001192,-0.53009,0.829254,0.01651
5077.300000011921,-0.504211,0.833084,0.019394
5102.550000011921,-0.514114,0.851196,0.04747
5127.810000002384,-0.545868,0.8591,0.046173
5153.090000003576,-0.609665,0.793304,-0.004929
5178.340000003576,-0.660751,0.804398,-0.029327
5203.620000004768,-0.668365,0.815689,-0.020065
5228.870000004768,-0.697311,0.865219,-0.015259
5254.120000004768,-0.78299,0.931473,-0.019821
5279.390000015497,-0.783768,0.911636,0.002625
5303.989999994636,-0.769882,0.850983,-0.015869
5329.280000001192,-0.718781,0.806793,0.022125
5354.530000016093,-0.633606,0.777649,0.142609
5379.780000001192,-0.563065,0.85611,0.25592
5405.04999999702,-0.501877,0.999268,0.138397
5430.310000017285,-0.476486,1.076843,0.029434
5455.580000013113,-0.549545,1.022781,-0.199173
5480.829999998212,-0.687378,0.957382,-0.20726
5506.080000013113,-1.013718,0.821533,0.066086
5531.360000014305,-1.28656,0.597107,0.126633
5556.609999999404,-1.130707,0.504379,0.094025
5581.890000000596,-0.57666,0.679337,0.066788
5607.140000015497,-0.273712,0.669998,0.125656
5632.4000000059605,-0.163528,0.645264,0.141403
5657.670000001788,-0.219528,0.611526,0.178268
5682.930000007153,-0.335373,0.567184,0.14888
5708.20000000298,-0.306595,0.518112,0.154678
5733.45000000298,-0.298538,0.498596,0.212265
5758.70000000298,-0.376907,0.461746,0.283524
5783.980000004172,-0.567581,0.458313,0.311447
5809.230000004172,-0.74823,0.508392,0.344772
5834.510000005364,-0.898895,0.568878,0.421631
5859.760000005364,-1.036316,0.673248,0.731903
5885.019999995828,-1.310226,0.753906,0.388092
5910.2900000065565,-1.223648,0.969406,0.475433
5935.5400000065565,-1.225082,0.223236,0.586395
5960.820000007749,-0.610001,-0.003174,0.292801
5986.070000007749,-0.312119,0.962997,-0.053375
6011.330000013113,-0.34613,1.795319,-0.505554
6036.600000008941,-0.184494,1.89093,0.182373
6061.8499999940395,-0.254944,0.790024,0.330444
6087.1200000196695,-0.232742,0.50769,-0.181
6112.380000010133,-0.352356,0.594849,-0.377625
6137.630000010133,-0.676636,0.95871,-0.366196
6162.9000000059605,-0.682663,1.013611,-0.174133
6188.1500000059605,-0.41095,0.788589,-0.00531
6213.430000007153,-0.498596,0.772583,0.023254
6238.680000007153,-0.566299,0.834549,0.075226
6263.930000007153,-0.41478,0.799667,-0.015701
6289.20000000298,-0.57074,0.744659,-0.095932
6314.460000008345,-0.592239,0.669556,-0.097778
6339.730000004172,-0.618393,0.627426,-0.150848
6364.980000004172,-0.607391,0.602646,-0.096146
6390.230000004172,-0.62709,0.704865,-0.086258
6415.5,-0.591446,0.717361,0.06044
6440.750000014901,-0.58107,0.740936,0.068008
6466.020000010729,-0.618973,0.652176,-0.070053
6491.269999995828,-0.636902,0.630234,-0.132263
6516.520000010729,-0.715073,0.642944,-0.120224
6541.800000011921,-0.8125,0.712555,-0.11731
6567.04999999702,-0.840698,0.707611,0.08725
6592.320000007749,-0.852539,0.699951,-0.01091
6617.580000013113,-0.853348,0.833603,-0.019928
6642.830000013113,-0.950134,0.937881,0.089172
6668.100000008941,-1.019684,0.906311,-0.057632
6693.359999999404,-0.885696,0.832657,0.033279
6718.630000010133,-0.701813,0.802124,-0.020538
6743.890000000596,-0.694702,1.07164,-0.045807
6769.140000000596,-0.556259,1.384308,-0.00676
6794.409999996424,-0.617691,1.530243,0.102249
6819.670000016689,-0.450058,0.855316,-0.249619
6844.940000012517,-0.77684,0.410812,-0.283875
6870.20000000298,-1.437866,0.25499,0.364914
6895.450000017881,-1.194901,0.434357,-0.147781
6920.720000013709,-0.614319,0.828812,-0.133484
6945.980000004172,-0.368958,0.846573,0.064865
6971.25,-0.180374,0.721054,0.263107
6996.500000014901,-0.15448,0.490021,0.272461
7021.740000009537,-0.222122,0.389099,0.164383
7047.019999995828,-0.176422,0.400482,-0.04483
7072.260000005364,-0.106583,0.415878,0.15213
7097.530000001192,-0.242142,0.40062,0.260269
7122.7900000065565,-0.535095,0.475204,0.342377
7148.0400000065565,-0.721634,0.456497,0.631866
7173.310000002384,-1.16423,0.699631,0.846786
7198.560000002384,-1.773254,0.874115,0.36734
7223.829999998212,-1.857803,0.910248,0.646683
7249.080000013113,-0.949432,-0.266083,0.706512
7274.340000003576,-0.286942,-0.531403,0.488235
7299.609999999404,-0.210251,0.515732,-0.065201
7324.860000014305,-0.548126,1.725037,-0.655212
7350.130000010133,-0.489502,2.233612,-0.352646
7375.390000000596,-0.75853,1.907303,1.118378
7400.640000015497,-0.363022,0.548615,-0.010818
7425.910000011325,-0.228851,0.221832,-0.633438
7451.160000011325,-0.446213,0.478439,-0.471405
7476.430000007153,-0.556961,0.812088,-0.264816
7501.690000012517,-0.552277,1.088058,0.041748
7526.940000012517,-0.440872,0.954895,0.025787
7552.210000008345,-0.568146,0.794403,0.150467
7577.450000017881,-0.397324,0.787704,-0.177307
7602.730000004172,-0.475342,0.643082,0.1129
7627.980000004172,-0.661316,0.733597,-0.157898
7653.2300000190735,-0.67865,0.700989,-0.144806
7678.500000014901,-0.62442,0.551666,0.029831
7703.75,-0.649475,0.579407,0.0065
7729.019999995828,-0.671295,0.602509,0.056839
7754.280000016093,-0.691132,0.595978,-0.016968
7779.530000001192,-0.581421,0.590576,-0.009537
7804.79999999702,-0.683273,0.604202,-0.021057
7830.050000011921,-0.858231,0.656799,-0.176544
7855.320000007749,-0.925308,0.690002,-0.111359
7880.570000007749,-0.893021,0.874954,0.31839
7905.820000007749,-1.080719,0.881775,-0.036972
7931.100000008941,-1.111649,0.731262,-0.17662
7956.350000008941,-0.938095,0.727158,-0.166962
7981.630000010133,-0.836487,1.011658,0.092667
8006.879999995232,-0.943695,1.333191,-0.082901
8032.140000015497,-0.684174,1.768402,0.167282
8057.410000011325,-0.489197,1.65152,0.033981
8082.659999996424,-0.332214,0.545654,-0.526276
8107.939999997616,-0.819809,0.142822,-0.138245
8133.190000012517,-1.302444,0.291138,0.267029
8158.439999997616,-1.037476,0.364716,-0.201019
8183.719999998808,-0.758362,0.778839,-0.187378
8208.970000013709,-0.447952,0.814865,0.025558
8234.230000004172,-0.053757,0.767609,0.269638
8259.480000004172,0.169113,0.468903,0.265976
8284.750000014901,-0.041107,0.329132,0.051147
8310.020000010729,-0.203827,0.384796,0.161255
8335.270000010729,-0.371216,0.384399,0.30571
8360.540000006557,-0.517914,0.380981,0.34108
8385.790000006557,-0.695206,0.517395,0.424255
8411.050000011921,-1.083023,0.708878,0.871307
8436.320000007749,-2.271973,0.897873,0.61972
8461.570000007749,-1.465668,0.809052,0.264359
8486.840000018477,-0.6073,-0.162903,0.680695
8512.090000003576,-0.105057,-0.420761,0.216293
8537.340000018477,-0.447983,1.261581,-0.627991
8562.62000001967,-0.534515,2.691177,-0.49884
8587.870000004768,-0.193878,1.914917,0.664169
8613.140000000596,-0.666672,0.529877,0.335861
8638.390000015497,-0.304153,0.179565,-0.797821
8663.640000000596,-0.413132,0.688141,-0.530792
8688.920000001788,-0.670258,1.291977,0.25
8714.170000001788,-0.737671,1.083252,-0.197388
8739.440000012517,-0.568817,0.714737,-0.193237
8764.680000007153,-0.314423,0.547394,-5.34E-4
8789.939999997616,-0.383087,0.781433,-0.13681
8815.210000008345,-0.422775,0.921844,-0.080673
8840.45000000298,-0.487091,0.783325,-0.178513
8865.719999998808,-0.701477,0.528412,-0.067734
8890.970000013709,-0.771194,0.56636,0.196991
8916.219999998808,-0.741302,0.525543,0.136337
8941.490000009537,-0.736511,0.521713,-0.173782
8966.750000014901,-0.64978,0.556442,-0.124374
8992.020000010729,-0.79509,0.555786,-0.160172
9017.270000010729,-0.846771,0.548157,-0.148651
9042.520000010729,-0.828995,0.626785,-0.164871
9067.790000006557,-0.811127,0.744919,-0.118301
9093.050000011921,-0.664352,1.005524,0.888397
9118.320000007749,-1.115372,0.802277,0.061218
9143.570000007749,-1.10408,0.626709,-0.079269
9168.820000007749,-0.826889,0.656448,-0.128937
9194.10000000894,-0.787781,0.860107,-0.127502
9219.34999999404,-0.991379,1.13446,-0.21106
9244.62000001967,-0.974716,1.777145,0.065155
9269.880000010133,-0.688446,2.195251,0.347931
9295.129999995232,-0.270905,1.130386,-0.189163
9320.40000000596,-0.279449,0.244537,-0.573746
9345.660000011325,-1.385147,0.10289,0.655731
9370.930000007153,-1.547592,0.272766,-0.159439
9396.180000007153,-0.769485,0.70314,-0.207352
9421.440000012517,-0.434082,0.70282,-0.222672
9446.710000008345,0.045486,0.662201,0.259521
9471.960000008345,0.336243,0.60643,0.397156
9497.240000009537,0.270584,0.350525,0.185715
9522.490000009537,-0.071533,0.386963,0.169113
9547.75,-0.312531,0.395004,0.284714
9573.020000010729,-0.556732,0.368042,0.287415
9598.270000010729,-0.655197,0.468597,0.234772
9623.550000011921,-0.89537,0.736786,0.540558
9648.800000011921,-1.481964,1.085495,1.025467
9674.04999999702,-1.90889,0.901047,0.29805
9699.329999998212,-1.24054,0.367447,0.705093
9724.590000003576,-0.578308,-0.098434,0.38858
9749.860000014305,-0.254379,0.798538,-0.018127
9775.109999999404,-0.531281,2.193832,-0.168533
9800.37000001967,-0.310013,2.298035,0.497299
9825.65000000596,-0.312164,0.5923,-0.86586
9850.90000000596,-0.425552,0.283539,-0.489838
9876.170000001788,-0.633301,0.358673,-0.23317
9901.429999992251,-0.622955,0.710678,0.039642
9926.690000012517,-0.538376,0.965057,-0.206238
9951.960000008345,-0.492111,0.934464,-0.280396
9977.210000008345,-0.219315,0.88208,0.074417
10002.480000004172,-0.425079,0.787033,0.787811
10027.740000009537,-0.847336,0.670853,-0.172455
10052.990000009537,-0.799255,0.513931,-0.211365
10078.260000005364,-0.768463,0.351593,-0.168747
10103.510000005364,-0.704147,0.448975,-0.042221
10128.780000001192,-0.759583,0.604446,0.042496
10154.030000001192,-0.818787,0.570419,-0.077682
10179.280000016093,-0.812866,0.632156,-0.079071
10204.560000002384,-0.877853,0.728149,-0.05127
10229.810000002384,-0.846848,0.592056,-0.07402
10255.079999998212,-0.970383,0.516205,-0.224976
10280.340000018477,-1.125,0.551895,-0.174484
10305.45000000298,-1.332336,0.698761,0.200745
10330.719999998808,-1.032837,0.697495,0.119431
10355.969999998808,-0.805771,0.77388,0.096939
10381.25,-0.66301,0.848526,0.020584
10406.500000014901,-0.735992,1.029755,-0.013428
10431.75,-0.778641,1.306976,-0.184341
10457.019999995828,-0.89444,1.985504,0.092148
10482.270000010729,-0.731247,1.123993,-0.105576
10507.550000011921,-0.942459,0.636734,-0.072723
10532.79999999702,-1.563156,0.288849,0.252548
10558.060000017285,-0.762665,0.422455,-0.058823
10583.330000013113,-0.303009,0.699631,-0.10199
10608.579999998212,-0.090637,0.612045,7.6E-5
10633.84999999404,-0.034348,0.415161,0.202927
10659.10000000894,-0.046234,0.279022,0.211609
10684.359999999404,0.059219,0.247009,0.205429
10709.620000004768,0.027435,0.227203,0.253342
10734.870000004768,-0.089066,0.227203,0.336823
10760.160000011325,-0.310486,0.249893,0.350113
10785.410000011325,-0.898148,0.515076,0.32312
10810.670000001788,-1.83432,1.004272,1.344193
