time(ms), Accel (x), Accel (y), Accel (z)
21007.0, 0.53169435, 11.261382, 4.047583
21110.0, -2.0621119, 14.540164, 3.8631666
21214.0, -0.73527104, 10.523716, 2.196233
21318.0, 0.22273682, 9.275911, 1.1735597
21431.0, -0.30895755, 9.481883, 1.1496094
21534.0, -0.8669971, 8.945398, 2.1243825
21637.0, -1.2621753, 9.407638, 3.0823903
21743.0, -0.38559815, 13.316309, 4.646338
21848.0, 1.6669337, 10.147698, 2.047742
21951.0, 1.22625, 10.142908, 1.7890797
22055.0, -1.1136842, 8.157437, 2.6584718
22160.0, -1.6549586, 8.411309, 3.1231055
22266.0, -0.059875492, 9.587264, 4.040398
22373.0, 0.14370118, 11.778707, 4.0499783
22478.0, -0.7232959, 13.170213, 3.6164796
22586.0, -0.8047266, 10.756033, 1.9136207
22689.0, -0.2778223, 8.691526, 1.5256275
22793.0, -0.84065187, 9.328602, 2.078877
22898.0, -1.6094532, 9.616004, 3.2356715
23003.0, -0.14130616, 9.580078, 2.8740237
23106.0, -0.7664063, 15.490987, 3.415298
23213.0, 0.6562354, 8.162227, 2.912344
23318.0, 1.4705421, 10.083033, 1.3052857
23422.0, -0.5843848, 8.246053, 3.5973196
23527.0, -1.4394068, 9.266331, 3.6284547
23630.0, 0.08861572, 12.068504, 4.790039
23736.0, 0.45026368, 10.535691, 3.779341
23841.0, -2.201023, 11.740386, 3.0057497
23946.0, 0.5125342, 10.197993, 1.2478052
24052.0, -0.5125342, 9.230406, 1.4729371
24158.0, -2.0309765, 9.881851, 1.9687061
24263.0, -0.68737066, 9.817185, 2.5387208
24367.0, -0.51492923, 11.223062, 2.6225464
24471.0, 0.009580079, 13.596526, 2.9674294
24575.0, 0.12933107, 9.4435625, 3.5542092
24678.0, 0.06227051, 9.0891, 2.323169
24783.0, -0.38559815, 8.178992, 2.7422974
24887.0, -1.219065, 10.267449, 2.6584718
24993.0, 0.20357667, 11.869718, 3.1087356
25097.0, 0.07664063, 10.703342, 3.5661843
25199.0, -2.2273684, 11.417059, 3.4560134
25303.0, -1.3507911, 11.00272, 1.8920655
25408.0, 0.2706372, 9.788445, 1.0585986
25513.0, -0.7711963, 9.843531, 1.2813355
25619.0, -1.465752, 9.613608, 1.9782863
25726.0, -0.55324954, 10.090218, 2.5363257
25829.0, -0.014370117, 13.268409, 2.8812087
