time(ms), Accel (x), Accel (y), Accel (z)
20742.0, 2.074087, 13.380975, -2.9338992
20846.0, 3.417693, 7.173084, -1.2310401
20949.0, 1.1663746, 10.471025, -2.1243825
21056.0, 1.4322218, 10.303374, -2.4453151
21162.0, 0.30416748, 10.3512745, -2.1219873
21267.0, -0.8143067, 10.700948, -1.6597486
21376.0, 1.1759547, 11.223062, -1.8082398
21481.0, -2.4213648, 17.78302, -5.362449
21586.0, 4.9648757, 9.196876, 1.1088941
21688.0, 2.936294, 3.1231055, -0.28979737
21793.0, 4.5960426, 7.0509377, -1.7675245
21896.0, 0.977168, 9.72857, 1.3052857
22001.0, 8.787327, 12.382252, -6.06419
22105.0, -18.18299, 18.513502, -14.441968
22210.0, -0.8933423, 10.317744, -2.047742
22314.0, -1.8441651, 10.394385, -0.15328126
22419.0, -1.5447876, 10.466236, -1.0274634
22524.0, -0.102985844, 10.35367, -1.5495777
22630.0, -1.8250049, 11.381133, -1.0202783
22734.0, -0.17004639, 15.658638, -3.661985
22839.0, -0.4047583, 13.294754, -0.014370117
22946.0, 10.31535, 6.2270513, -4.026028
23051.0, 0.6562354, 4.624783, 1.5423926
23154.0, 5.2666483, 12.329561, -2.7901978
23257.0, 2.2848487, 15.974781, -7.31439
23361.0, 1.8824854, 8.998089, -12.86365
23463.0, 1.0178833, 10.394385, -0.7161109
23568.0, -1.104104, 10.475816, -1.1376343
23671.0, -0.2921924, 10.691368, -2.0070264
23775.0, 0.33769777, 10.727293, -1.6022681
23879.0, -0.30416748, 10.669812, -1.3819263
23984.0, 1.7794995, 11.024276, -1.7747096
24090.0, -2.071692, 16.03226, -6.373147
24195.0, 2.5938063, 8.341853, 2.6441016
24300.0, -1.7627344, 2.42855, 2.0525317
24404.0, 5.0606766, 5.3552637, -0.34009278
24508.0, 3.6140847, 12.013418, -0.32572266
24612.0, 6.974297, 13.012141, -6.246211
24716.0, -0.8765772, 10.260264, -3.1183155
24820.0, -0.73527104, 7.1060233, -5.022356
24924.0, 1.3076807, 9.642349, -0.63707525
